;host_is_superhost;host_total_listings_count;latitude;longitude;accommodates;bathrooms;bedrooms;beds;extra_people;minimum_nights;number_of_reviews;instant_bookable;ano;mes;num_amenities;property_type_Apartment;property_type_Condominium;property_type_House;property_type_Outro;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict;cancellation_policy_strict_14_with_grace_period;price
87;0;2.0;-22.969947020877687;-43.18878807659534;4;2.0;2.0;2.0;0.0;2;9;0;2018;4;19;True;False;False;False;False;False;True;False;376.0
88;0;3.0;-22.936929183150728;-43.19098433088751;1;2.0;1.0;2.0;82.0;1;4;0;2018;4;12;True;False;False;False;False;True;False;False;68.0
89;0;2.0;-22.915487712984508;-43.226262298050486;3;1.0;1.0;3.0;50.0;1;1;0;2018;4;11;False;False;True;False;True;False;False;False;301.0
91;0;1.0;-22.91916456836233;-43.17930722892988;1;1.0;1.0;1.0;0.0;3;22;0;2018;4;22;True;False;False;False;False;False;True;False;51.0
92;0;2.0;-22.919491198854505;-43.22557608265069;2;1.0;1.0;1.0;34.0;1;2;0;2018;4;23;True;False;False;False;True;False;False;False;85.0
93;0;2.0;-22.913099414451;-43.18268519590882;4;1.0;1.0;3.0;30.0;2;11;0;2018;4;20;True;False;False;False;False;False;True;False;120.0
96;1;1.0;-22.980015225107746;-43.22371218359892;4;1.0;2.0;3.0;90.0;3;13;0;2018;4;26;True;False;False;False;True;False;False;False;243.0
100;0;1.0;-22.98219611984617;-43.18960155583384;3;2.0;1.0;3.0;0.0;2;60;1;2018;4;22;True;False;False;False;False;False;True;False;133.0
102;0;1.0;-22.92590836340108;-43.18032612408575;2;1.0;1.0;1.0;0.0;2;0;0;2018;4;3;True;False;False;False;True;False;False;False;683.0
103;0;1.0;-22.929042244520247;-43.561201974506496;8;1.0;1.0;1.0;50.0;2;0;0;2018;4;9;False;False;True;False;False;True;False;False;199.0
104;1;4.0;-22.960990589593308;-43.19933504993541;2;1.0;1.0;1.0;0.0;3;63;1;2018;4;35;True;False;False;False;False;True;False;False;171.0
106;0;3.0;-22.81166188792924;-43.18182389934622;2;1.0;1.0;1.0;89.0;2;0;0;2018;4;13;False;False;True;False;False;False;True;False;240.0
108;0;1.0;-23.067748289041283;-43.56664427145989;1;0.0;1.0;1.0;0.0;1;0;0;2018;4;1;False;False;True;False;True;False;False;False;116.0
110;0;1.0;-22.973036103921487;-43.41490351987193;4;1.0;1.0;2.0;0.0;1;0;0;2018;4;18;False;False;False;True;True;False;False;False;143.0
111;0;4.0;-22.96403035258751;-43.40828552299928;9;1.5;3.0;5.0;99.0;2;4;0;2018;4;21;False;False;True;False;False;True;False;False;140.0
115;0;1.0;-22.982493444709505;-43.19221811268892;3;1.0;1.0;3.0;50.0;5;10;0;2018;4;15;True;False;False;False;False;True;False;False;150.0
116;0;1.0;-22.966556498796614;-43.18575150493299;4;1.0;0.0;3.0;100.0;3;0;0;2018;4;15;True;False;False;False;False;False;True;False;171.0
120;0;2.0;-23.01190144842937;-43.372154529097976;2;1.0;1.0;2.0;0.0;2;0;0;2018;4;11;True;False;False;False;False;True;False;False;201.0
124;1;3.0;-22.96260056567852;-43.17704313584854;2;1.0;1.0;1.0;0.0;3;40;0;2018;4;12;True;False;False;False;False;False;True;False;99.0
125;1;2.0;-22.97964486575173;-43.19210232619778;5;1.5;2.0;2.0;68.0;3;149;1;2018;4;38;True;False;False;False;False;False;False;True;393.0
126;0;2.0;-22.921676100199534;-43.180668280857695;3;1.0;1.0;2.0;85.0;3;6;0;2018;4;28;True;False;False;False;False;True;False;False;143.0
130;0;4.0;-22.97984794399469;-43.19189190487076;3;1.0;1.0;2.0;17.0;3;86;0;2018;4;25;True;False;False;False;False;False;True;False;161.0
131;0;4.0;-22.97816474237171;-43.191000431729975;2;1.0;1.0;1.0;17.0;3;70;0;2018;4;24;False;False;False;True;False;False;True;False;167.0
134;0;4.0;-22.967251622070783;-43.18169203502355;2;1.0;1.0;1.0;40.0;1;64;0;2018;4;21;True;False;False;False;False;False;True;False;130.0
135;0;1.0;-22.915439054384933;-43.25249293538096;2;1.0;1.0;1.0;50.0;2;0;0;2018;4;5;False;False;True;False;False;True;False;False;201.0
136;0;4.0;-22.980722689813064;-43.198816192408;7;1.0;2.0;6.0;0.0;3;6;0;2018;4;13;True;False;False;False;False;False;True;False;342.0
137;0;1.0;-22.96470772020485;-43.18681563036254;4;1.0;1.0;2.0;80.0;3;1;1;2018;4;18;True;False;False;False;False;True;False;False;249.0
140;0;3.0;-22.9206190232728;-43.18155547155797;2;1.0;1.0;1.0;0.0;2;2;0;2018;4;12;True;False;False;False;False;True;False;False;120.0
142;0;2.0;-22.967994723653412;-43.184942039939685;5;1.0;2.0;3.0;40.0;2;25;0;2018;4;38;True;False;False;False;False;False;True;False;348.0
143;0;2.0;-22.948790216642426;-43.18146620052078;2;1.5;1.0;1.0;40.0;4;27;0;2018;4;34;True;False;False;False;False;False;True;False;120.0
146;0;4.0;-22.957832931119416;-43.199842440134354;1;1.0;1.0;1.0;0.0;5;1;0;2018;4;9;True;False;False;False;False;False;True;False;133.0
148;0;3.0;-22.985971449435763;-43.19590955564227;2;2.0;1.0;1.0;50.0;1;123;1;2018;4;25;True;False;False;False;False;True;False;False;82.0
149;0;4.0;-22.984268916642534;-43.196892286123415;6;2.0;3.0;3.0;0.0;4;13;0;2018;4;11;True;False;False;False;False;False;True;False;844.0
150;0;1.0;-23.00053631075203;-43.30655020165483;2;1.0;1.0;1.0;100.0;1;0;0;2018;4;3;False;False;True;False;False;False;True;False;201.0
151;1;1.0;-22.982973037075407;-43.19387723874913;5;1.0;1.0;3.0;35.0;2;70;1;2018;4;25;True;False;False;False;False;False;True;False;201.0
152;0;1.0;-22.99958498004661;-43.31079752696984;4;2.0;2.0;4.0;120.0;2;16;0;2018;4;30;False;False;False;True;False;False;True;False;615.0
156;0;5.0;-22.915556662966683;-43.19393799276147;3;1.0;1.0;2.0;40.0;2;11;0;2018;4;5;False;False;True;False;False;False;True;False;51.0
160;0;1.0;-22.97056997945264;-43.33668172367017;5;1.0;2.0;2.0;0.0;3;0;0;2018;4;14;True;False;False;False;True;False;False;False;301.0
161;0;3.0;-22.96536480072316;-43.17978943850517;2;1.0;1.0;1.0;0.0;1;170;0;2018;4;38;True;False;False;False;False;False;True;False;208.0
163;0;1.0;-22.9287697773533;-43.1765159584629;2;1.0;1.0;2.0;80.0;2;38;0;2018;4;19;True;False;False;False;False;True;False;False;92.0
168;0;1.0;-22.96358852755516;-43.17044402824421;3;1.0;1.0;1.0;50.0;2;2;0;2018;4;10;True;False;False;False;True;False;False;False;120.0
169;0;1.0;-22.917341503199783;-43.2116821021906;2;1.0;1.0;1.0;0.0;1;0;1;2018;4;7;True;False;False;False;True;False;False;False;113.0
171;0;1.0;-22.970050414924632;-43.18282570867717;2;1.5;1.0;1.0;0.0;1;0;1;2018;4;23;True;False;False;False;False;True;False;False;700.0
172;0;1.0;-22.968400198938188;-43.41458170982648;6;1.0;2.0;4.0;100.0;3;0;0;2018;4;12;True;False;False;False;False;False;True;False;301.0
173;1;4.0;-22.985395876957817;-43.19105409243839;2;2.0;1.0;1.0;0.0;2;20;0;2018;4;15;False;False;False;True;False;False;True;False;168.0
174;1;4.0;-22.986449836638936;-43.18893743508961;2;1.0;1.0;1.0;0.0;2;20;0;2018;4;16;False;False;False;True;False;False;True;False;79.0
175;1;4.0;-22.986801400008023;-43.19098086935042;2;1.0;1.0;2.0;0.0;2;28;0;2018;4;18;False;False;False;True;False;False;True;False;99.0
177;0;1.0;-22.94122100468556;-43.17632619237118;2;1.0;1.0;1.0;0.0;1;0;0;2018;4;11;True;False;False;False;True;False;False;False;683.0
179;1;1.0;-22.916465076543048;-43.1787430126655;4;1.0;1.0;2.0;0.0;2;211;1;2018;4;14;False;False;False;True;False;True;False;False;171.0
181;0;2.0;-22.98207008198802;-43.194626907509445;1;3.5;1.0;2.0;0.0;3;0;0;2018;4;16;True;False;False;False;False;False;True;False;120.0
182;1;1.0;-23.00545912456265;-43.4403467479645;4;2.0;2.0;2.0;50.0;5;69;1;2018;4;26;True;False;False;False;False;True;False;False;175.0
185;0;2.0;-22.980739102156097;-43.22571688846474;2;1.0;1.0;1.0;50.0;2;7;1;2018;4;10;True;False;False;False;False;True;False;False;249.0
186;0;1.0;-22.937286676508734;-43.17459193170093;6;1.5;2.0;2.0;0.0;2;100;0;2018;4;14;True;False;False;False;False;True;False;False;208.0
189;0;2.0;-22.98817429580201;-43.22759305010496;3;1.0;2.0;2.0;0.0;2;35;1;2018;4;13;True;False;False;False;False;False;True;False;219.0
190;0;1.0;-22.99270284545653;-43.23497877604503;2;1.0;1.0;1.0;0.0;1;20;0;2018;4;12;False;False;True;False;False;False;True;False;140.0
192;0;3.0;-22.969815740730848;-43.38807247902423;2;1.0;1.0;1.0;0.0;2;18;1;2018;4;24;False;False;False;True;False;False;True;False;150.0
195;1;2.0;-22.93874629858605;-43.177015502313694;3;2.0;1.0;1.0;80.0;3;27;1;2018;4;25;True;False;False;False;False;False;True;False;201.0
197;0;3.0;-22.874983481455267;-43.56367118903674;5;1.5;2.0;4.0;48.0;1;9;0;2018;4;34;False;False;True;False;False;True;False;False;68.0
198;1;5.0;-22.966073556895758;-43.19056247225958;3;1.0;1.0;3.0;80.0;3;95;1;2018;4;15;True;False;False;False;False;False;True;False;130.0
199;0;1.0;-22.96320790193038;-43.1754369366928;4;1.0;1.0;4.0;25.0;7;13;1;2018;4;19;True;False;False;False;False;False;True;False;181.0
200;1;2.0;-22.963935203392207;-43.17138844078912;3;1.0;1.0;2.0;0.0;1;11;0;2018;4;25;True;False;False;False;False;False;True;False;150.0
201;0;2.0;-22.94728239279717;-43.1864486939661;2;1.0;1.0;1.0;34.0;3;0;0;2018;4;2;False;False;True;False;False;False;True;False;205.0
203;0;1.0;-22.97540994367262;-43.188982446021626;2;1.0;1.0;2.0;80.0;2;12;0;2018;4;14;True;False;False;False;False;False;True;False;120.0
205;1;5.0;-22.97946578640757;-43.19286772427102;4;1.0;1.0;1.0;100.0;2;22;0;2018;4;8;True;False;False;False;False;False;True;False;126.0
208;0;3.0;-22.920559162603816;-43.17802649313593;2;1.0;1.0;1.0;16.0;2;6;0;2018;4;22;True;False;False;False;False;False;True;False;96.0
209;0;2.0;-22.982713275364905;-43.19330483587403;2;1.0;1.0;2.0;0.0;2;1;0;2018;4;18;True;False;False;False;False;True;False;False;178.0
210;0;2.0;-22.880225594155707;-43.49130587923879;1;1.0;1.0;1.0;0.0;2;0;0;2018;4;6;False;False;True;False;True;False;False;False;68.0
211;0;1.0;-22.968173791024448;-43.17986586631821;4;1.0;1.0;1.0;0.0;3;10;0;2018;4;13;True;False;False;False;False;False;True;False;229.0
213;0;2.0;-22.97618498628272;-43.18876246771297;1;2.0;2.0;4.0;100.0;1;0;0;2018;4;4;True;False;False;False;True;False;False;False;499.0
214;0;1.0;-22.98665719924382;-43.19321355781961;3;1.0;1.0;2.0;50.0;2;94;0;2018;4;23;True;False;False;False;False;False;True;False;181.0
216;1;1.0;-22.97560535202216;-43.187914255177375;4;2.5;2.0;1.0;0.0;1;72;0;2018;4;11;True;False;False;False;False;False;True;False;427.0
217;1;2.0;-23.01129385143897;-43.323050996697546;3;1.0;1.0;2.0;100.0;3;131;1;2018;4;27;True;False;False;False;False;False;True;False;195.0
218;1;3.0;-22.969109715433053;-43.188357208664165;2;1.0;1.0;1.0;0.0;2;99;1;2018;4;25;True;False;False;False;False;False;True;False;89.0
220;0;2.0;-22.97725092787852;-43.19038569542469;4;1.0;1.0;4.0;25.0;3;77;0;2018;4;19;True;False;False;False;False;False;True;False;178.0
221;0;1.0;-22.96036269865839;-43.21310363963227;1;2.0;1.0;1.0;0.0;2;13;0;2018;4;19;True;False;False;False;False;True;False;False;137.0
222;1;1.0;-22.91837757684065;-43.18234781290081;2;1.0;1.0;1.0;0.0;2;136;1;2018;4;28;False;False;False;True;False;False;True;False;188.0
225;0;2.0;-22.988307995009297;-43.35749394356657;4;2.0;1.0;1.0;0.0;2;1;0;2018;4;14;True;False;False;False;False;False;True;False;1199.0
227;0;1.0;-22.95348765778937;-43.18112825512596;2;1.0;1.0;1.0;80.0;1;3;0;2018;4;13;True;False;False;False;False;True;False;False;249.0
230;0;2.0;-22.982799276349308;-43.21604050675222;9;2.0;2.0;4.0;55.0;2;117;0;2018;4;23;True;False;False;False;False;False;True;False;500.0
231;0;2.0;-22.969988242076557;-43.18924956359795;3;1.0;1.0;2.0;0.0;1;2;0;2018;4;9;True;False;False;False;False;False;True;False;410.0
232;0;1.0;-22.9189822063418;-43.18926410928892;2;1.0;1.0;2.0;0.0;2;11;0;2018;4;23;True;False;False;False;False;True;False;False;195.0
233;1;1.0;-22.964126682666592;-43.17435722902548;4;1.0;1.0;1.0;25.0;2;122;1;2018;4;25;True;False;False;False;False;True;False;False;143.0
234;0;2.0;-22.96716624244319;-43.18776349129341;2;1.0;1.0;1.0;85.0;2;4;1;2018;4;10;True;False;False;False;False;False;True;False;181.0
238;1;2.0;-22.91942196548528;-43.18514176470069;4;1.0;1.0;1.0;63.0;3;25;0;2018;4;20;True;False;False;False;False;False;True;False;126.0
239;0;1.0;-22.98420668608182;-43.19833003841678;4;2.0;2.0;2.0;68.0;2;84;0;2018;4;12;True;False;False;False;False;False;True;False;342.0
240;0;1.0;-22.91405880798496;-43.18951387271496;4;1.0;1.0;2.0;70.0;4;2;1;2018;4;21;True;False;False;False;True;False;False;False;123.0
241;0;2.0;-22.98229706104734;-43.20026240448823;2;2.0;2.0;2.0;0.0;3;10;0;2018;4;28;True;False;False;False;False;True;False;False;256.0
242;0;1.0;-22.99629619146048;-43.26018293505359;2;2.0;1.0;1.0;0.0;2;12;0;2018;4;20;True;False;False;False;False;False;True;False;311.0
247;0;1.0;-22.980323488693045;-43.203344957216586;5;2.0;1.0;3.0;0.0;1;0;0;2018;4;9;True;False;False;False;True;False;False;False;342.0
248;0;1.0;-23.011648567536263;-43.32647240097137;3;1.0;1.0;2.0;0.0;5;0;0;2018;4;18;True;False;False;False;False;False;True;False;410.0
251;0;4.0;-22.91574352658197;-43.18425320626961;2;1.0;0.0;2.0;0.0;1;3;0;2018;4;7;True;False;False;False;False;False;True;False;526.0
253;0;1.0;-22.97334479743856;-43.20702499511831;4;2.0;2.0;2.0;0.0;3;0;0;2018;4;34;True;False;False;False;False;False;True;False;229.0
254;0;2.0;-22.936629437353407;-43.17659614019249;2;1.0;1.0;1.0;102.0;2;32;1;2018;4;15;True;False;False;False;False;False;True;False;222.0
256;0;2.0;-22.96206973042889;-43.174693591515656;4;1.0;1.0;2.0;120.0;1;44;1;2018;4;22;True;False;False;False;True;False;False;False;154.0
259;0;2.0;-22.91410551376948;-43.18576811966778;4;1.0;1.0;1.0;39.0;2;2;0;2018;4;9;True;False;False;False;True;False;False;False;232.0
264;0;2.0;-22.96656677789817;-43.19191531619556;5;2.0;2.0;4.0;0.0;3;2;0;2018;4;11;True;False;False;False;False;False;True;False;451.0
265;0;5.0;-22.98054244450124;-43.19368567529776;4;1.0;1.0;3.0;28.0;3;69;0;2018;4;12;True;False;False;False;False;False;True;False;161.0
266;1;3.0;-22.984857366500577;-43.20369102055926;4;1.0;1.0;3.0;51.0;2;137;1;2018;4;28;True;False;False;False;False;False;True;False;256.0
270;0;2.0;-22.974286612976925;-43.18919132356928;4;1.0;1.0;1.0;65.0;3;4;0;2018;4;14;True;False;False;False;False;False;True;False;195.0
271;0;2.0;-22.96460079939253;-43.1905912692168;4;1.0;0.0;1.0;0.0;4;16;0;2018;4;17;True;False;False;False;False;True;False;False;342.0
273;0;4.0;-22.914945424991377;-43.18231701994301;2;1.0;0.0;2.0;0.0;1;1;0;2018;4;3;True;False;False;False;False;False;True;False;199.0
274;0;4.0;-22.91565712310435;-43.18482420066382;2;1.0;0.0;2.0;0.0;1;0;0;2018;4;8;True;False;False;False;False;False;True;False;188.0
276;1;3.0;-22.96958765589324;-43.188857845615566;3;1.0;1.0;2.0;60.0;2;42;1;2018;4;11;True;False;False;False;False;False;True;False;150.0
278;0;3.0;-22.9471199655438;-43.18553808706627;2;1.5;1.0;1.0;38.0;1;137;0;2018;4;20;True;False;False;False;False;False;True;False;99.0
280;0;1.0;-23.00683607538989;-43.32427114566512;4;2.0;2.0;2.0;41.0;5;13;0;2018;4;16;True;False;False;False;False;False;True;False;256.0
281;0;3.0;-22.946820542869315;-43.18368433055904;2;1.5;1.0;1.0;50.0;1;194;0;2018;4;25;False;False;False;True;False;False;True;False;140.0
282;0;1.0;-22.915254577724543;-43.18136289087773;3;1.0;1.0;3.0;80.0;2;20;0;2018;4;11;False;False;True;False;False;False;True;False;181.0
283;0;2.0;-22.986684516279222;-43.20403453139976;2;1.0;1.0;1.0;85.0;5;26;0;2018;4;12;True;False;False;False;False;False;True;False;512.0
284;0;1.0;-22.979847913088747;-43.19135404653498;5;1.0;1.0;3.0;68.0;5;115;1;2018;4;21;True;False;False;False;False;False;True;False;198.0
285;0;2.0;-22.9300689216508;-43.19453100989298;2;1.0;1.0;1.0;102.0;2;7;0;2018;4;11;True;False;False;False;False;False;True;False;512.0
286;0;1.0;-22.98665261248188;-43.4322466109785;4;1.0;2.0;4.0;100.0;2;2;1;2018;4;14;True;False;False;False;False;True;False;False;201.0
287;0;3.0;-22.967195464304314;-43.17983066452528;3;1.0;1.0;1.0;0.0;2;8;0;2018;4;19;True;False;False;False;False;False;True;False;249.0
288;1;5.0;-22.984046680078727;-43.20033559708556;4;1.5;2.0;2.0;50.0;2;24;0;2018;4;25;True;False;False;False;False;False;True;False;219.0
289;0;1.0;-22.984104389707493;-43.19268956952355;3;1.0;1.0;2.0;50.0;3;44;1;2018;4;13;True;False;False;False;False;False;True;False;65.0
290;0;2.0;-22.966306735066148;-43.17260586702316;6;2.5;3.0;3.0;0.0;3;12;0;2018;4;17;True;False;False;False;False;False;True;False;598.0
291;0;2.0;-22.938361619417243;-43.20521792145274;5;1.5;1.0;2.0;68.0;2;27;0;2018;4;27;False;False;False;True;False;False;True;False;202.0
292;0;1.0;-22.97953670566828;-43.19019484304139;4;1.0;1.0;4.0;60.0;5;68;0;2018;4;18;True;False;False;False;False;False;True;False;134.0
293;0;2.0;-23.006540624154454;-43.34505822552332;4;2.0;1.0;3.0;96.0;3;8;0;2018;4;26;True;False;False;False;False;False;True;False;359.0
300;0;1.0;-22.96776638572468;-43.1819181446616;2;1.0;1.0;1.0;0.0;4;22;1;2018;4;11;True;False;False;False;False;True;False;False;205.0
301;0;3.0;-22.917038512195724;-43.19026223951512;4;1.0;2.0;2.0;34.0;1;3;0;2018;4;8;True;False;False;False;False;False;True;False;1195.0
304;0;1.0;-22.881770552619844;-43.49129234328053;2;1.0;1.0;1.0;45.0;1;2;0;2018;4;9;False;False;True;False;True;False;False;False;31.0
305;0;2.0;-22.8403448303516;-43.31419673129866;1;1.0;1.0;1.0;0.0;1;0;0;2018;4;5;True;False;False;False;True;False;False;False;205.0
307;0;1.0;-22.98855835639561;-43.2264087234198;5;1.5;2.0;3.0;85.0;8;17;0;2018;4;23;True;False;False;False;False;False;True;False;273.0
310;0;1.0;-22.978304022320312;-43.19089390579876;3;1.0;1.0;2.0;68.0;2;38;0;2018;4;20;True;False;False;False;False;True;False;False;222.0
312;0;2.0;-22.979161638502973;-43.22685597814176;3;1.0;1.0;2.0;88.0;4;11;0;2018;4;16;True;False;False;False;False;False;True;False;161.0
313;0;2.0;-22.981368342518277;-43.19254561518488;2;1.0;1.0;1.0;39.0;4;28;0;2018;4;18;True;False;False;False;False;False;True;False;130.0
314;1;1.0;-22.943152749092214;-43.18477592345404;2;1.0;1.0;1.0;0.0;3;84;1;2018;4;14;True;False;False;False;False;False;True;False;154.0
317;0;1.0;-22.98624025727756;-43.22267605387779;3;1.0;2.0;2.0;0.0;5;39;0;2018;4;18;False;False;False;True;False;False;True;False;342.0
323;0;5.0;-22.96946066222232;-43.18889790175118;3;1.0;1.0;2.0;0.0;3;1;0;2018;4;9;True;False;False;False;False;False;True;False;208.0
324;0;3.0;-22.9246408635504;-43.191556863741;2;2.0;1.0;1.0;0.0;2;20;0;2018;4;16;False;False;False;True;False;True;False;False;239.0
325;0;3.0;-22.925010251668844;-43.19106890468637;2;1.0;1.0;1.0;0.0;2;0;0;2018;4;22;False;False;False;True;False;True;False;False;854.0
326;1;6.0;-22.98579965332638;-43.20196471813366;2;1.0;1.0;1.0;34.0;4;113;1;2018;4;17;True;False;False;False;False;False;True;False;222.0
327;0;1.0;-22.98211845185002;-43.19839655849066;2;1.0;1.0;1.0;68.0;3;10;1;2018;4;21;True;False;False;False;False;False;True;False;137.0
329;0;4.0;-22.96870619690722;-43.182173360897536;2;1.0;1.0;2.0;30.0;1;34;1;2018;4;15;True;False;False;False;False;False;True;False;126.0
330;1;1.0;-22.96521432174303;-43.17614346349849;8;1.5;2.0;6.0;16.0;2;59;0;2018;4;32;True;False;False;False;False;False;True;False;154.0
335;0;4.0;-22.97704871921615;-43.188644210944;5;2.0;2.0;2.0;85.0;3;158;0;2018;4;17;True;False;False;False;False;False;True;False;253.0
336;0;2.0;-22.98309575598705;-43.30133949336035;2;1.0;1.0;1.0;0.0;2;8;0;2018;4;14;False;False;True;False;False;False;True;False;201.0
337;0;4.0;-22.9771726013364;-43.18935067591689;6;2.0;2.0;4.0;85.0;3;151;0;2018;4;18;True;False;False;False;False;False;True;False;225.0
